question_text,source,module_type,toggle_category,keywords,n_keywords,n_tagged,word_count,complexity,Ui,Bi,Ri,selected_for_module
Lost earnings because of the pandemic,COVID-19,Crisis-Specific,Toggle: Pandemic / Disaster,"['earnings', 'lost earnings', 'pandemic', 'the pandemic']",4,4,6,0.0,3.4,0.6000000000000001,5.666666666666666,True
Any financial difficulties,COVID-19,Crisis-Specific,Generic Core,"['any financial difficulties', 'financial difficulties']",2,2,3,0.0,1.7,0.30000000000000004,5.666666666666666,True
Only work from home,COVID-19,Crisis-Specific,Toggle: Pandemic / Disaster,"['home', 'only work', 'work']",3,3,4,0.0,2.25,0.4,5.625,True
] stopped this work?,Govt Shutdown (Income),Generic,Generic Core,"['stopped', 'this work', 'work']",3,3,4,0.0,2.15,0.4,5.374999999999999,True
(Were/Was) there any wage(s) or salary(s) from (this job/these jobs)?,Govt Shutdown (Income),Generic,Generic Core,"['(this job', 'any wage(s', 'job', 'jobs )?', 'salary', 'salary(s', 'these jobs', 'wage']",8,8,10,0.5,5.699999999999999,1.1,5.181818181818181,True
Received stimulus payment,COVID-19,Crisis-Specific,Toggle: Pandemic / Disaster,"['received stimulus payment', 'stimulus payment']",2,2,3,0.0,1.4,0.30000000000000004,4.666666666666666,True
Working in a job that was considered essential work?,COVID-19,Crisis-Specific,Generic Core,"['a job', 'considered essential work', 'essential work', 'job', 'that', 'working']",6,5,9,0.0,3.5,0.9,3.888888888888889,True
How did you/your family manage any financial difficulties (due to the shutdown) - sell your belongings?,Govt Shutdown (Crisis),Crisis-Specific,Toggle: Financial Crisis,"['any financial difficulties', 'belongings', 'due', 'family manage', 'financial difficulties', 'sell', 'shutdown', 'the shutdown', 'you', 'your belongings', 'your family']",11,8,16,0.0,5.95,1.6,3.71875,True
] stopped working at this business?,Govt Shutdown (Income),Generic,Generic Core,"['business', 'stopped working', 'this business']",3,3,6,0.0,2.2,0.6000000000000001,3.6666666666666665,True
Paycheck protection,COVID-19,Crisis-Specific,Toggle: Pandemic / Disaster,['paycheck protection'],1,1,2,0.0,0.7,0.2,3.4999999999999996,True
Stimulus payments,COVID-19,Crisis-Specific,Toggle: Pandemic / Disaster,['stimulus payments'],1,1,2,0.0,0.7,0.2,3.4999999999999996,True
What was that other job-related income from?,Govt Shutdown (Income),Generic,Generic Core,"['job', 'related income', 'that other job-related income', 'what']",4,3,7,0.0,2.3,0.7000000000000001,3.285714285714285,True
"Can I just check, are you normally resident at this address? {ff_address1} {ff_address2} {ff_address3} {ff_address4} {ff_postcode}",Understanding Society,Generic,Generic Core,"['address', 'check', 'ff_address1', 'ff_address2', 'ff_address3', 'ff_address4', 'ff_postcode', 'normally resident', 'this address', 'you', '{ff_address1} {ff_address2']",11,10,16,0.5,5.55,1.7000000000000002,3.2647058823529407,True
"Did ] have any income from bonuses, overtime, tips, or commissions?",Govt Shutdown (Income),Generic,Generic Core,"['any income', 'bonuses', 'commissions', 'income', 'overtime', 'tips']",6,6,11,2.0,4.8,1.5,3.1999999999999997,True
What were the total receipts from the business in ?,Govt Shutdown (Income),Generic,Generic Core,"['business', 'the business', 'the total receipts', 'total receipts', 'what']",5,4,10,0.0,3.0999999999999996,1.0,3.0999999999999996,True
How did you/your family manage any financial difficulties (due to the shutdown) – did you use savings in your bank or credit union savings account?,Govt Shutdown (Crisis),Crisis-Specific,Toggle: Financial Crisis,"['any financial difficulties', 'bank', 'credit union savings account', 'due', 'family manage', 'financial difficulties', 'savings', 'shutdown', 'the shutdown', 'use savings', 'you', 'your bank or credit union savings account', 'your family', '–']",14,10,25,0.5,7.949999999999999,2.6,3.0576923076923075,True
How did you/your family manage any financial difficulties (due to the shutdown) – put off paying the rent or mortgage?,Govt Shutdown (Crisis),Crisis-Specific,Toggle: Financial Crisis,"['any financial difficulties', 'due', 'family manage', 'financial difficulties', 'mortgage', 'paying', 'rent', 'shutdown', 'the rent', 'the shutdown', 'you', 'your family', '– put']",13,8,20,0.5,6.400000000000001,2.1,3.047619047619048,True
Laid off or furloughed because of the pandemic,COVID-19,Crisis-Specific,Toggle: Pandemic / Disaster,"['furloughed', 'laid', 'pandemic', 'the pandemic']",4,4,8,1.5,3.3,1.1,2.9999999999999996,True
How did you/your family manage any financial difficulties (due to the shutdown) - use money from your retirement savings?,Govt Shutdown (Crisis),Crisis-Specific,Toggle: Financial Crisis,"['any financial difficulties', 'due', 'family manage', 'financial difficulties', 'money', 'retirement savings', 'shutdown', 'the shutdown', 'use money', 'you', 'your family', 'your retirement savings']",12,7,19,0.0,5.3999999999999995,1.9000000000000001,2.8421052631578942,True
Did ]  own a business at any time in  or have a financial interest in any business enterprise?,Govt Shutdown (Income),Generic,Generic Core,"['a business', 'a financial interest', 'any business enterprise', 'any time', 'business', 'business enterprise', 'financial interest', 'time']",8,7,18,0.5,5.3999999999999995,1.9000000000000001,2.8421052631578942,True
Managed financial difficulties by . . . using savings,COVID-19,Crisis-Specific,Generic Core,"['managed financial difficulties', 'savings', 'using savings']",3,3,9,0.0,2.55,0.9,2.833333333333333,True
How did you/your family manage any financial difficulties (due to the shutdown) - use your credit card more than you usually would?,Govt Shutdown (Crisis),Crisis-Specific,Toggle: Financial Crisis,"['any financial difficulties', 'credit card', 'due', 'family manage', 'financial difficulties', 'shutdown', 'the shutdown', 'use', 'usually would', 'you', 'your credit card', 'your family']",12,8,22,0.0,6.199999999999999,2.2,2.8181818181818175,True
(And) what was the net income from the business (in )?,Govt Shutdown (Income),Generic,Generic Core,"[')?', 'business', 'net income', 'the business', 'the net income', 'what']",6,4,11,0.0,3.0999999999999996,1.1,2.8181818181818175,True
How did you/your family manage any financial difficulties due to the shutdown - did you cut back on spending?,Govt Shutdown (Crisis),Crisis-Specific,Toggle: Financial Crisis,"['any financial difficulties', 'cut back', 'family manage', 'financial difficulties due', 'shutdown', 'spending', 'the shutdown', 'you', 'your family']",9,7,19,0.0,5.3500000000000005,1.9000000000000001,2.8157894736842106,False
"On average, how many hours a week did  work at this business in ?",Govt Shutdown (Income),Generic,Generic Core,"['average', 'business', 'how many hours', 'many hours', 'this business', 'week', 'work']",7,7,14,1.5,4.6499999999999995,1.7000000000000002,2.7352941176470584,True
Did ] earn wages or salaries in  from working on any jobs besides the unincorporated business we have just talked about]?,Govt Shutdown (Income),Generic,Generic Core,"[']?', 'any jobs', 'earn wages', 'jobs besides', 'salaries', 'talked', 'the unincorporated business', 'unincorporated business', 'wages', 'working']",10,8,21,0.5,6.0,2.2,2.727272727272727,False
How did you/your family manage any financial difficulties (due to the shutdown) - use a food bank or other emergency community support?,Govt Shutdown (Crisis),Crisis-Specific,Toggle: Financial Crisis,"['a food bank', 'any financial difficulties', 'due', 'emergency community support', 'family manage', 'financial difficulties', 'food bank', 'other emergency community support', 'shutdown', 'the shutdown', 'use', 'you', 'your family']",13,8,22,0.5,6.2,2.3000000000000003,2.6956521739130435,False
How did you/your family manage any financial difficulties (due to the shutdown) - get a second job?,Govt Shutdown (Crisis),Crisis-Specific,Toggle: Financial Crisis,"['a second job', 'any financial difficulties', 'due', 'family manage', 'financial difficulties', 'get', 'second job', 'shutdown', 'the shutdown', 'you', 'your family']",11,7,17,1.0,5.1000000000000005,1.9000000000000001,2.6842105263157894,False
Calculate respondent’s age.,Understanding Society,Generic,Generic Core,"['age', 'calculate respondent ’', 'respondent']",3,1,3,0.0,0.8,0.30000000000000004,2.6666666666666665,False
Managed financial difficulties by . . . using a food bank or other emergency support,COVID-19,Crisis-Specific,Generic Core,"['a food bank', 'emergency support', 'food bank', 'managed financial difficulties', 'other emergency support', 'using']",6,5,15,0.5,4.25,1.6,2.65625,False
How did you/your family manage any financial difficulties (due to the shutdown) - file for unemployment insurance?,Govt Shutdown (Crisis),Crisis-Specific,Toggle: Financial Crisis,"['- file', 'any financial difficulties', 'due', 'family manage', 'file', 'financial difficulties', 'shutdown', 'the shutdown', 'unemployment insurance', 'you', 'your family']",11,6,17,0.0,4.449999999999999,1.7000000000000002,2.6176470588235285,False
Did business receive any loan forgiveness for funds from Paycheck Protection Program,COVID-19,Crisis-Specific,Toggle: Pandemic / Disaster,"['any loan forgiveness', 'business', 'business receive', 'funds', 'loan forgiveness', 'paycheck protection program']",6,5,12,1.0,3.6000000000000005,1.4000000000000001,2.5714285714285716,False
Managed financial difficulties by . . . putting off paying rent or mortgage,COVID-19,Crisis-Specific,Toggle: Pandemic / Disaster,"['managed financial difficulties', 'mortgage', 'paying rent', 'putting', 'rent']",5,4,13,0.5,3.55,1.4000000000000001,2.535714285714285,False
"Whether Job Reported for PYEAR, or No Job Reported but Worked For a Reported Incorporated Business",Govt Shutdown (Income),Generic,Generic Core,"['a reported incorporated business', 'job', 'job reported', 'no job', 'pyear', 'reported incorporated business', 'whether job reported', 'worked']",8,7,16,2.0,5.0,2.0,2.5,False
Did ] put in any work time for this business in ?,Govt Shutdown (Income),Generic,Generic Core,"['any work time', 'business', 'put', 'this business', 'work time']",5,4,12,0.0,2.9000000000000004,1.2000000000000002,2.4166666666666665,False
"In addition to this, did ] have any income from bonuses, overtime, tips, or commissions?",Govt Shutdown (Income),Generic,Generic Core,"['addition', 'any income', 'bonuses', 'commissions', 'income', 'overtime', 'this', 'tips']",8,6,15,2.5,4.8,2.0,2.4,False
How did you/your family manage any financial difficulties (due to the shutdown) - do something else?,Govt Shutdown (Crisis),Crisis-Specific,Toggle: Financial Crisis,"['any financial difficulties', 'due', 'family manage', 'financial difficulties', 'shutdown', 'something', 'something else', 'the shutdown', 'you', 'your family']",10,5,16,0.0,3.6999999999999997,1.6,2.3124999999999996,False
What was the net income from farming?,Govt Shutdown (Income),Generic,Generic Core,"['farming', 'net income', 'the net income', 'what']",4,2,7,0.0,1.6,0.7000000000000001,2.2857142857142856,False
Managed financial difficulties by . . . cutting back on spending,COVID-19,Crisis-Specific,Generic Core,"['cutting back', 'managed financial difficulties', 'spending']",3,3,11,0.0,2.5,1.1,2.2727272727272725,False
"On average, how many hours a week did  work in ?",Govt Shutdown (Income),Generic,Generic Core,"['average', 'how many hours', 'many hours', 'week', 'work']",5,5,11,1.5,3.1499999999999995,1.4000000000000001,2.2499999999999996,False
What was the official title of ]’s] job? (The title that  employer used.),Govt Shutdown (Income),Generic,Generic Core,"['(the title', ']’', 'employer', 'employer used .)', 'job', 'official title', 'that', 'the official title', 'title', 'what', '’s] job']",11,4,13,0.0,2.8,1.3,2.1538461538461537,False
Who in the family owned that business?,Govt Shutdown (Income),Generic,Generic Core,"['business', 'family owned', 'that business', 'the family', 'who']",5,2,7,0.0,1.5,0.7000000000000001,2.142857142857143,False
What was the name of (the/that) business?,Govt Shutdown (Income),Generic,Generic Core,"[') business', 'business', 'name', 'that', 'the name', 'what']",6,2,7,0.0,1.5,0.7000000000000001,2.142857142857143,False
What was the official title of ’s] job? (The title that the business used.),Govt Shutdown (Income),Generic,Generic Core,"['(the title', 'business used .)', 'job', 'official title', 'that', 'the business', 'the official title', 'title', 'what', '’', '’s] job']",11,4,14,0.0,2.9000000000000004,1.4000000000000001,2.0714285714285716,False
"And, how many weeks did  work at this business in ?",Govt Shutdown (Income),Generic,Generic Core,"['business', 'many weeks', 'this business', 'work']",4,4,11,1.5,2.8499999999999996,1.4000000000000001,2.035714285714285,False
How much was from other job related income?,Govt Shutdown (Income),Generic,Generic Core,"['job related income', 'much', 'other job related income']",3,2,8,0.0,1.6,0.8,2.0,False
In which months during  ] working at this business?,Govt Shutdown (Income),Generic,Generic Core,"['business', 'months', 'this business', 'which months', 'working']",5,3,9,1.0,2.2,1.1,2.0,False
What was the name of that employer?,Govt Shutdown (Income),Generic,Generic Core,"['employer', 'name', 'that employer', 'the name', 'what']",5,2,7,0.0,1.4,0.7000000000000001,1.9999999999999998,False
Managed financial difficulties by . . . using credit card more than usual,COVID-19,Crisis-Specific,Generic Core,"['credit card', 'managed financial difficulties', 'using credit card', 'usual']",4,3,13,0.0,2.55,1.3,1.9615384615384612,False
How did you/your family manage any financial difficulties (due to the shutdown) – put off paying any other bills?,Govt Shutdown (Crisis),Crisis-Specific,Toggle: Financial Crisis,"['any financial difficulties', 'any other bills', 'bills', 'due', 'family manage', 'financial difficulties', 'paying', 'shutdown', 'the shutdown', 'you', 'your family', '– put']",12,5,19,0.0,3.6999999999999997,1.9000000000000001,1.9473684210526312,False
