question_text,source,module_type,toggle_category,keywords,n_keywords,n_tagged,word_count,complexity,Ui,Bi,Ri,selected_for_module,crisis_origin,tagged,constructs
Any financial difficulties,COVID-19,Crisis-Specific,Generic Core,"['any financial difficulties', 'financial difficulties']",2,2,3,0.0,1.7,0.30000000000000004,5.666666666666666,True,COVID-19 2021,"[{'keyword': 'any financial difficulties', 'construct': 'Financial Coping', 'weight': 0.85}, {'keyword': 'financial difficulties', 'construct': 'Financial Coping', 'weight': 0.85}]",['Financial Coping']
Lost earnings because of the pandemic,COVID-19,Crisis-Specific,Toggle: Pandemic / Disaster,"['earnings', 'lost earnings', 'pandemic', 'the pandemic']",4,4,6,0.0,3.4,0.6000000000000001,5.666666666666666,True,COVID-19 2021,"[{'keyword': 'earnings', 'construct': 'Economic / Income', 'weight': 0.8}, {'keyword': 'lost earnings', 'construct': 'Economic / Income', 'weight': 0.8}, {'keyword': 'pandemic', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'the pandemic', 'construct': 'Trauma / Health', 'weight': 0.9}]","['Economic / Income', 'Trauma / Health']"
stopped this work?,Govt Shutdown Income,Generic,Generic Core,"['stopped', 'this work', 'work']",3,2,3,0.0,1.4,0.30000000000000004,4.666666666666666,True,Shutdown 2019,"[{'keyword': 'this work', 'construct': 'Employment', 'weight': 0.7}, {'keyword': 'work', 'construct': 'Employment', 'weight': 0.7}]",['Employment']
Received stimulus payment,COVID-19,Crisis-Specific,Toggle: Pandemic / Disaster,"['received stimulus payment', 'stimulus payment']",2,2,3,0.0,1.4,0.30000000000000004,4.666666666666666,True,COVID-19 2021,"[{'keyword': 'received stimulus payment', 'construct': 'Government Aid', 'weight': 0.7}, {'keyword': 'stimulus payment', 'construct': 'Government Aid', 'weight': 0.7}]",['Government Aid']
stopped working at this business?,Govt Shutdown Income,Generic,Generic Core,"['business', 'stopped working', 'this business']",3,3,5,0.0,2.25,0.5,4.5,True,Shutdown 2019,"[{'keyword': 'business', 'construct': 'Economic / Income', 'weight': 0.75}, {'keyword': 'stopped working', 'construct': 'Employment', 'weight': 0.75}, {'keyword': 'this business', 'construct': 'Economic / Income', 'weight': 0.75}]","['Economic / Income', 'Employment']"
Working in a job that was considered essential work?,COVID-19,Crisis-Specific,Toggle: Pandemic / Disaster,"['a job', 'considered essential work', 'essential work', 'job', 'working']",5,5,9,0.0,3.6000000000000005,0.9,4.000000000000001,True,COVID-19 2021,"[{'keyword': 'a job', 'construct': 'Employment', 'weight': 0.7}, {'keyword': 'considered essential work', 'construct': 'Employment', 'weight': 0.75}, {'keyword': 'essential work', 'construct': 'Employment', 'weight': 0.75}, {'keyword': 'job', 'construct': 'Employment', 'weight': 0.7}, {'keyword': 'working', 'construct': 'Employment', 'weight': 0.7}]",['Employment']
How did you/your family manage any financial difficulties due to the shutdown - sell your belongings?,Govt Shutdown Crisis,Crisis-Specific,Toggle: Financial Crisis,"['any financial difficulties', 'belongings', 'due', 'family manage', 'financial difficulties', 'sell', 'shutdown', 'the shutdown', 'you', 'your belongings', 'your family']",11,8,16,0.0,5.95,1.6,3.71875,True,Shutdown 2019,"[{'keyword': 'any financial difficulties', 'construct': 'Financial Coping', 'weight': 0.85}, {'keyword': 'belongings', 'construct': 'Financial Coping', 'weight': 0.75}, {'keyword': 'family manage', 'construct': 'Financial Coping', 'weight': 0.7}, {'keyword': 'financial difficulties', 'construct': 'Financial Coping', 'weight': 0.85}, {'keyword': 'sell', 'construct': 'Financial Coping', 'weight': 0.75}, {'keyword': 'shutdown', 'construct': 'Government Aid', 'weight': 0.65}, {'keyword': 'the shutdown', 'construct': 'Government Aid', 'weight': 0.65}, {'keyword': 'your belongings', 'construct': 'Financial Coping', 'weight': 0.75}]","['Financial Coping', 'Government Aid']"
Only work from home,COVID-19,Crisis-Specific,Toggle: Pandemic / Disaster,"['home', 'only work', 'work']",3,2,4,0.0,1.4,0.4,3.4999999999999996,True,COVID-19 2021,"[{'keyword': 'only work', 'construct': 'Employment', 'weight': 0.7}, {'keyword': 'work', 'construct': 'Employment', 'weight': 0.7}]",['Employment']
Stimulus payments,COVID-19,Crisis-Specific,Toggle: Pandemic / Disaster,['stimulus payments'],1,1,2,0.0,0.7,0.2,3.4999999999999996,True,COVID-19 2021,"[{'keyword': 'stimulus payments', 'construct': 'Government Aid', 'weight': 0.7}]",['Government Aid']
Paycheck protection,COVID-19,Crisis-Specific,Toggle: Pandemic / Disaster,['paycheck protection'],1,1,2,0.0,0.7,0.2,3.4999999999999996,True,COVID-19 2021,"[{'keyword': 'paycheck protection', 'construct': 'Government Aid', 'weight': 0.7}]",['Government Aid']
